starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:57:53 2013	1365447473	2	92	94	70
Mon Apr 08 20:57:52 2013	1365447472	0	94	94	66
Mon Apr 08 20:57:39 2013	1365447459	0	94	94	58
Mon Apr 08 20:57:31 2013	1365447451	0	94	94	57
Mon Apr 08 20:57:47 2013	1365447467	0	94	94	80
Mon Apr 08 20:57:46 2013	1365447466	0	93	94	75
Mon Apr 08 20:57:37 2013	1365447457	0	94	94	68
Mon Apr 08 20:57:09 2013	1365447429	0	94	94	87
Mon Apr 08 20:57:10 2013	1365447430	0	94	94	93
Mon Apr 08 20:57:19 2013	1365447439	0	94	94	64
Mon Apr 08 20:57:30 2013	1365447450	0	94	94	65
Mon Apr 08 20:58:05 2013	1365447485	1	93	94	69
Mon Apr 08 20:57:49 2013	1365447469	0	94	94	69
Mon Apr 08 20:57:19 2013	1365447439	0	94	94	73
Mon Apr 08 20:57:31 2013	1365447451	0	94	94	65
Mon Apr 08 20:57:26 2013	1365447446	0	94	94	67
Mon Apr 08 20:57:51 2013	1365447471	0	94	94	94
Mon Apr 08 20:57:41 2013	1365447461	0	94	94	66
Mon Apr 08 20:58:00 2013	1365447480	0	94	94	55
Mon Apr 08 20:57:21 2013	1365447441	0	94	94	69
Mon Apr 08 20:57:38 2013	1365447458	0	94	94	79
Mon Apr 08 20:57:52 2013	1365447472	0	94	94	72
Mon Apr 08 20:57:32 2013	1365447452	0	94	94	55
Mon Apr 08 20:57:46 2013	1365447466	0	94	94	59
Mon Apr 08 20:57:23 2013	1365447443	0	94	94	72
Mon Apr 08 20:57:19 2013	1365447439	0	94	94	47
Mon Apr 08 20:57:57 2013	1365447477	0	94	94	70
Mon Apr 08 20:57:11 2013	1365447431	1	93	94	82
Mon Apr 08 20:58:01 2013	1365447481	0	94	94	88
Mon Apr 08 20:57:57 2013	1365447477	0	94	94	53
Mon Apr 08 20:57:15 2013	1365447435	0	94	94	87
Mon Apr 08 20:57:53 2013	1365447473	0	94	94	76
Mon Apr 08 20:57:52 2013	1365447472	1	93	94	66
Mon Apr 08 20:57:25 2013	1365447445	0	94	94	54
Mon Apr 08 20:57:11 2013	1365447431	0	94	94	79
Mon Apr 08 20:57:28 2013	1365447448	0	94	94	57
Mon Apr 08 20:58:04 2013	1365447484	0	94	94	55
Mon Apr 08 20:57:23 2013	1365447443	0	94	94	73
Mon Apr 08 20:57:35 2013	1365447455	0	94	94	57
Mon Apr 08 20:57:43 2013	1365447463	0	94	94	60
Mon Apr 08 20:57:30 2013	1365447450	0	94	94	65
Mon Apr 08 20:57:29 2013	1365447449	0	94	94	63
Mon Apr 08 20:57:51 2013	1365447471	0	94	94	89
Mon Apr 08 20:57:54 2013	1365447474	0	94	94	72
Mon Apr 08 20:57:34 2013	1365447454	0	94	94	67
Mon Apr 08 20:57:12 2013	1365447432	0	94	94	74
Mon Apr 08 20:57:28 2013	1365447448	0	94	94	67
Mon Apr 08 20:58:05 2013	1365447485	0	94	94	69
Mon Apr 08 20:57:40 2013	1365447460	0	94	94	53
Mon Apr 08 20:58:04 2013	1365447484	0	94	94	67
Mon Apr 08 20:57:10 2013	1365447430	0	94	94	76
Mon Apr 08 20:57:26 2013	1365447446	0	94	94	49
Mon Apr 08 20:57:53 2013	1365447473	0	94	94	72
Mon Apr 08 20:57:27 2013	1365447447	0	94	94	59
Mon Apr 08 20:57:38 2013	1365447458	1	94	94	63
Mon Apr 08 20:57:32 2013	1365447452	0	94	94	68
Mon Apr 08 20:57:36 2013	1365447456	0	94	94	56
Mon Apr 08 20:57:27 2013	1365447447	0	94	94	68
